Description,TIMESTAMP
Statistics: FilesDownloaded:33; TotalNumberOfFiles:542141; SnapshotSizeBytes:1103053417432; ReusedBytes:1102998754627; DownloadedBytes:3802558921; RunTimeInSec:434; ManifestTimeSec:17; CleanupTimeSec:1; CSWDoneSizeBytes:1280985578785; FilesFilterOutBySize:0,2020-07-02T12:27:52.7849207Z
Statistics: FilesDownloaded:30; TotalNumberOfFiles:704142; SnapshotSizeBytes:1148640850373; ReusedBytes:1148640226832; DownloadedBytes:6748; RunTimeInSec:193; ManifestTimeSec:10; CleanupTimeSec:0; CSWDoneSizeBytes:1543452424041; FilesFilterOutBySize:0,2020-07-02T12:29:34.4694242Z
Statistics: FilesDownloaded:68; TotalNumberOfFiles:840043; SnapshotSizeBytes:3197868613350; ReusedBytes:3197415224358; DownloadedBytes:4070093638; RunTimeInSec:247; ManifestTimeSec:12; CleanupTimeSec:0; CSWDoneSizeBytes:0; FilesFilterOutBySize:0,2020-07-02T12:30:36.4065859Z
Statistics: FilesDownloaded:34; TotalNumberOfFiles:704135; SnapshotSizeBytes:1148640930059; ReusedBytes:1148535400191; DownloadedBytes:105039820; RunTimeInSec:190; ManifestTimeSec:9; CleanupTimeSec:0; CSWDoneSizeBytes:1543452386682; FilesFilterOutBySize:0,2020-07-02T12:32:46.0365796Z
Statistics: FilesDownloaded:40; TotalNumberOfFiles:704807; SnapshotSizeBytes:1151150966767; ReusedBytes:1151044695199; DownloadedBytes:105650548; RunTimeInSec:364; ManifestTimeSec:17; CleanupTimeSec:1; CSWDoneSizeBytes:1540944989815; FilesFilterOutBySize:0,2020-07-02T12:33:58.3167743Z
Statistics: FilesDownloaded:24; TotalNumberOfFiles:921080; SnapshotSizeBytes:3213336981760; ReusedBytes:3213336508668; DownloadedBytes:0; RunTimeInSec:241; ManifestTimeSec:12; CleanupTimeSec:0; CSWDoneSizeBytes:0; FilesFilterOutBySize:0,2020-07-02T12:34:38.1714041Z
Statistics: FilesDownloaded:33; TotalNumberOfFiles:704135; SnapshotSizeBytes:1148640930040; ReusedBytes:1148640442069; DownloadedBytes:110944; RunTimeInSec:177; ManifestTimeSec:11; CleanupTimeSec:0; CSWDoneSizeBytes:1543452386682; FilesFilterOutBySize:0,2020-07-02T12:35:44.549005Z
Statistics: FilesDownloaded:31; TotalNumberOfFiles:921080; SnapshotSizeBytes:3213336981542; ReusedBytes:3213336459161; DownloadedBytes:47279; RunTimeInSec:242; ManifestTimeSec:12; CleanupTimeSec:0; CSWDoneSizeBytes:0; FilesFilterOutBySize:0,2020-07-02T12:38:41.0628993Z
Statistics: FilesDownloaded:29; TotalNumberOfFiles:704135; SnapshotSizeBytes:1148640929982; ReusedBytes:1148640452170; DownloadedBytes:6768; RunTimeInSec:176; ManifestTimeSec:9; CleanupTimeSec:0; CSWDoneSizeBytes:1543452386682; FilesFilterOutBySize:0,2020-07-02T12:38:41.4657326Z
Statistics: FilesDownloaded:55; TotalNumberOfFiles:704807; SnapshotSizeBytes:1151150967069; ReusedBytes:1151150171785; DownloadedBytes:280692; RunTimeInSec:340; ManifestTimeSec:17; CleanupTimeSec:1; CSWDoneSizeBytes:1540944989815; FilesFilterOutBySize:0,2020-07-02T12:39:40.0207182Z
